Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
alveo_hls4ml_1,215.666,99.658,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
alveo_hls4ml_1,entry_proc_U0,0.003,0.000,0.000,0.000
alveo_hls4ml_1,Loop_VITIS_LOOP_67_1_proc39_U0,17.280,0.000,0.000,0.000
alveo_hls4ml_1,Loop_VITIS_LOOP_67_1_proc39_U0/grp_Loop_VITIS_LOOP_67_1_proc39_Pipeline_VITIS_LOOP_67_1_VITIS_LOOP_68_2_fu_193,17.043,0.000,0.000,0.000
alveo_hls4ml_1,Loop_VITIS_LOOP_74_3_proc40_U0,15.820,0.000,0.000,0.000
alveo_hls4ml_1,Loop_VITIS_LOOP_74_3_proc40_U0/grp_Loop_VITIS_LOOP_74_3_proc40_Pipeline_VITIS_LOOP_74_3_VITIS_LOOP_75_4_fu_181,15.583,0.000,0.000,0.000
alveo_hls4ml_1,myproject_U0,214.993,99.658,0.000,0.000
alveo_hls4ml_1,myproject_U0/bidirectional_array_ap_fixed_16_6_5_3_0_ap_fixed_33_4_5_3_0_config2_U0,116.350,0.000,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_33_4_5_3_0_ap_fixed_16_3_4_0_0_linear_config3_U0,116.353,53.947,0.000,0.000
alveo_hls4ml_1,myproject_U0/clone_stream_ap_fixed_16_3_4_0_0_ap_fixed_16_6_5_3_0_128_U0,116.353,53.949,0.000,0.000
alveo_hls4ml_1,myproject_U0/dense_ap_fixed_16_6_5_3_0_ap_fixed_16_6_5_3_0_config4_U0,116.793,53.949,0.000,0.000
alveo_hls4ml_1,myproject_U0/dense_ap_fixed_16_6_5_3_0_ap_fixed_16_6_5_3_0_config6_U0,116.793,53.949,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_16_6_5_3_0_ap_fixed_16_3_4_0_0_linear_config8_U0,116.797,54.153,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_16_6_5_3_0_ap_fixed_10_3_4_0_0_linear_config9_U0,116.797,54.153,0.000,0.000
alveo_hls4ml_1,myproject_U0/clone_stream_ap_fixed_16_3_4_0_0_ap_fixed_32_16_5_3_0_64_U0,116.797,54.155,0.000,0.000
alveo_hls4ml_1,myproject_U0/explogvar_ap_fixed_10_3_4_0_0_ap_fixed_16_6_5_3_0_config10_U0,116.800,54.155,0.000,0.000
alveo_hls4ml_1,myproject_U0/srn_ap_fixed_32_16_5_3_0_ap_fixed_32_16_5_3_0_config11_U0,116.797,53.946,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_16_6_5_3_0_ap_fixed_18_8_4_0_0_linear_config12_U0,116.800,54.156,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_32_16_5_3_0_ap_fixed_16_3_4_0_0_linear_config13_U0,116.800,54.155,0.000,0.000
alveo_hls4ml_1,myproject_U0/multiply_ap_fixed_ap_fixed_16_3_4_0_0_ap_fixed_16_6_5_3_0_config14_U0,116.813,54.158,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_16_6_5_3_0_ap_fixed_16_3_4_0_0_linear_config15_U0,116.817,54.162,0.000,0.000
alveo_hls4ml_1,myproject_U0/add_ap_fixed_ap_fixed_16_3_4_0_0_ap_fixed_16_6_5_3_0_config16_U0,116.830,54.169,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_16_6_5_3_0_ap_fixed_16_3_4_0_0_linear_config18_U0,116.833,54.170,0.000,0.000
alveo_hls4ml_1,myproject_U0/gru_stack_array_ap_fixed_ap_fixed_ap_fixed_33_4_5_3_0_config19_U0,214.433,54.172,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_33_4_5_3_0_ap_fixed_16_3_4_0_0_linear_config20_U0,214.436,99.314,0.000,0.000
alveo_hls4ml_1,myproject_U0/pointwise_conv_1d_cl_ap_fixed_ap_fixed_16_6_5_3_0_config26_U0,214.893,91.852,0.000,0.000
alveo_hls4ml_1,myproject_U0/linear_ap_fixed_16_6_5_3_0_ap_fixed_16_3_4_0_0_linear_config23_U0,214.896,99.527,0.000,0.000
alveo_hls4ml_1,myproject_U0/pointwise_conv_1d_cl_ap_fixed_ap_fixed_16_6_5_3_0_config27_U0,214.953,98.650,0.000,0.000
alveo_hls4ml_1,Loop_VITIS_LOOP_93_5_proc41_U0,215.663,91.986,0.000,0.000
alveo_hls4ml_1,Loop_VITIS_LOOP_93_5_proc41_U0/grp_Loop_VITIS_LOOP_93_5_proc41_Pipeline_VITIS_LOOP_93_5_VITIS_LOOP_94_6_fu_202,215.426,91.986,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
alveo_hls4ml_1,m_axi_gmem0,0.000,0.000,0.000,0.000
alveo_hls4ml_1,m_axi_gmem1,0.000,0.000,0.000,0.000
alveo_hls4ml_1,m_axi_gmem2,0.000,0.000,0.000,0.000

